Index;Sender;Receiver;Unit;Converter;NameDE;NameEN;MqttTopic;DescriptionDE;DescriptionEN;Default;MinValue;MaxValue;ValuesDE;ValuesEN;ReadOnly
1432;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Mittwoch Zeitspanne 3;Heating Program Heating Circuit 2 Wednesday Time Period 3;/program/heating/hc2/wed/p3;;;---;;;;;
1440;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Donnerstag Zeitspanne 1;Heating Program Heating Circuit 2 Thursday Time Period 1;/program/heating/hc2/thu/p1;;;00:00-24:00;;;;;
1441;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Donnerstag Zeitspanne 2;Heating Program Heating Circuit 2 Thursday Time Period 2;/program/heating/hc2/thu/p2;;;---;;;;;
1442;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Donnerstag Zeitspanne 3;Heating Program Heating Circuit 2 Thursday Time Period 3;/program/heating/hc2/thu/p3;;;---;;;;;
1450;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Freitag Zeitspanne 1;Heating Program Heating Circuit 2 Friday Time Period 1;/program/heating/hc2/fri/p1;;;00:00-24:00;;;;;
1451;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Freitag Zeitspanne 2;Heating Program Heating Circuit 2 Friday Time Period 2;/program/heating/hc2/fri/p2;;;---;;;;;
1452;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Freitag Zeitspanne 3;Heating Program Heating Circuit 2 Friday Time Period 3;/program/heating/hc2/fri/p3;;;---;;;;;
1460;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Samstag Zeitspanne 1;Heating Program Heating Circuit 2 Saturday Time Period 1;/program/heating/hc2/sat/p1;;;00:00-24:00;;;;;
1461;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Samstag Zeitspanne 2;Heating Program Heating Circuit 2 Saturday Time Period 2;/program/heating/hc2/sat/p2;;;---;;;;;
1462;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Samstag Zeitspanne 3;Heating Program Heating Circuit 2 Saturday Time Period 3;/program/heating/hc2/sat/p3;;;---;;;;;
1470;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Sonntag Zeitspanne 1;Heating Program Heating Circuit 2 Sunday Time Period 1;/program/heating/hc2/sun/p1;;;00:00-24:00;;;;;
1471;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Sonntag Zeitspanne 2;Heating Program Heating Circuit 2 Sunday Time Period 2;/program/heating/hc2/sun/p2;;;---;;;;;
1472;302;6A0;;TimeRange;Heizprogramm Heizkreis 2 Sonntag Zeitspanne 3;Heating Program Heating Circuit 2 Sunday Time Period 3;/program/heating/hc2/sun/p3;;;---;;;;;
