elster-kromschroeder can-bus address scanner and test utility
copyright (c) 2014 Jürg Müller, CH-5524

  { 0x180, 0x05c6, 0x0000},  // ASYMETRIE_HEIZSTUFEN: 0
  { 0x180, 0x05c7, 0x0000},  // VOLUMENSTROMMESSUNG: 0
  { 0x180, 0x05d1, 0x0000},  // HF_NETZWERK_ID: 0
  { 0x180, 0x05d3, 0x0000},  // PARTY_ENDE_UHRZEIT: 0
  { 0x180, 0x05d4, 0x0000},  // FERIEN_ANFANG_UHRZEIT: 0
  { 0x180, 0x05db, 0x0000},  // GASVENTIL2: 0
  { 0x180, 0x05dd, 0x0002},  // KUEHLZUSTAND: 2
  { 0x180, 0x05de, 0x0001},  // TEMPORALE_LUEFTUNGSSTUFE_STUFE: 1
  { 0x180, 0x0611, 0x003c},  // WE_STB_TESTFUNKTION_16: 60
  { 0x180, 0x0612, 0x0002},  // UNTERD_TEMPM_PUMPENANL: 2
  { 0x180, 0x063f, 0x0108},  // ISTDREHZAHL_VERDICHTER_2: 264
  { 0x180, 0x0640, 0x0000},  // ZWISCHENEINSPRITZUNG_ISTTEMP_VND: 0
  { 0x180, 0x0641, 0x0000},  // TEST_OBJEKT_0: 0
  { 0x180, 0x0642, 0x0000},  // TEST_OBJEKT_1: 0
  { 0x180, 0x0643, 0x0000},  // TEST_OBJEKT_2: 0
  { 0x180, 0x0644, 0x0000},  // TEST_OBJEKT_3: 0
  { 0x180, 0x0645, 0x0000},  // TEST_OBJEKT_4: 0
  { 0x180, 0x0646, 0x0000},  // TEST_OBJEKT_5: 0
  { 0x180, 0x0647, 0x0000},  // TEST_OBJEKT_6: 0
  { 0x180, 0x0648, 0x0000},  // TEST_OBJEKT_7: 0
  { 0x180, 0x0649, 0x0000},  // TEST_OBJEKT_8: 0
  { 0x180, 0x064a, 0x000a},  // TEST_OBJEKT_9: 10
  { 0x180, 0x064b, 0x0002},  // TEST_OBJEKT_10: 2
  { 0x180, 0x064c, 0x0000},  // TEST_OBJEKT_11: 0
  { 0x180, 0x064d, 0x0000},  // TEST_OBJEKT_12: 0
  { 0x180, 0x064f, 0x0005},  // TEST_OBJEKT_14: 5
  { 0x180, 0x0650, 0x0037},  // TEST_OBJEKT_15: 55
  { 0x180, 0x0652, 0x0000},  // TEST_OBJEKT_17: 0
  { 0x180, 0x0653, 0x0000},  // TEST_OBJEKT_18: 0
  { 0x180, 0x0654, 0x0001},  // TEST_OBJEKT_19: 1
  { 0x180, 0x0655, 0x0000},  // TEST_OBJEKT_20: 0
  { 0x180, 0x0658, 0x0005},  // TEST_OBJEKT_23: 5
  { 0x180, 0x0659, 0x0078},  // TEST_OBJEKT_24: 120
  { 0x180, 0x065a, 0x0000},  // TEST_OBJEKT_25: 0
  { 0x180, 0x065f, 0x0000},  // TEST_OBJEKT_30: 0
  { 0x180, 0x0660, 0x000a},  // TEST_OBJEKT_31: 10
  { 0x180, 0x0663, 0x0000},  // TEST_OBJEKT_34: 0
  { 0x180, 0x0664, 0x0000},  // TEST_OBJEKT_35: 0
  { 0x180, 0x0665, 0x0000},  // TEST_OBJEKT_36: 0
  { 0x180, 0x0666, 0x0008},  // TEST_OBJEKT_37: 8
  { 0x180, 0x0667, 0x0000},  // TEST_OBJEKT_38: 0
  { 0x180, 0x0668, 0x00b0},  // TEST_OBJEKT_39: 176
  { 0x180, 0x0669, 0x00b0},  // TEST_OBJEKT_40: 176
  { 0x180, 0x066a, 0x0375},  // TEST_OBJEKT_41: 885
  { 0x180, 0x066b, 0x0376},  // TEST_OBJEKT_42: 886
  { 0x180, 0x066c, 0x0000},  // TEST_OBJEKT_43: 0
  { 0x180, 0x066d, 0x0000},  // TEST_OBJEKT_44: 0
  { 0x180, 0x066e, 0x0000},  // TEST_OBJEKT_45: 0
  { 0x180, 0x066f, 0x001e},  // TEST_OBJEKT_46: 30
  { 0x180, 0x0672, 0x0017},  // TEST_OBJEKT_49: 23
  { 0x180, 0x0673, 0xfff8},  // TEST_OBJEKT_50: -8
  { 0x180, 0x0674, 0xfff7},  // TEST_OBJEKT_51: -9
  { 0x180, 0x0675, 0xfff5},  // TEST_OBJEKT_52: -11
  { 0x180, 0x0676, 0xffec},  // TEST_OBJEKT_53: -20
  { 0x180, 0x0677, 0xffe2},  // TEST_OBJEKT_54: -30
  { 0x180, 0x0678, 0xfff5},  // TEST_OBJEKT_55: -11
  { 0x180, 0x0679, 0xffe0},  // TEST_OBJEKT_56: -32
  { 0x180, 0x067a, 0xffe3},  // TEST_OBJEKT_57: -29
  { 0x180, 0x067b, 0xfff6},  // TEST_OBJEKT_58: -10
  { 0x180, 0x067c, 0xffea},  // TEST_OBJEKT_59: -22
  { 0x180, 0x067d, 0xffec},  // TEST_OBJEKT_60: -20
  { 0x180, 0x067e, 0xffea},  // TEST_OBJEKT_61: -22
  { 0x180, 0x067f, 0xffe2},  // TEST_OBJEKT_62: -30
  { 0x180, 0x0680, 0xfff8},  // TEST_OBJEKT_63: -8
  { 0x180, 0x0681, 0x0003},  // TEST_OBJEKT_64: 3
  { 0x180, 0x0682, 0xffed},  // TEST_OBJEKT_65: -19
