./can_scan slcan0 6A1 301
  
  
  { 0x301, 0x1871, 0x8080},  // W_WASSERPROG_2_SO_SCHALT_2: not used time domain
  { 0x301, 0x1872, 0x8080},  // W_WASSERPROG_2_SO_SCHALT_3: not used time domain
  { 0x301, 0x1880, 0x0060},  // W_WASSERPROG_2_MO_FR: 96
  { 0x301, 0x1881, 0x8080},  // W_WASSERPROG_2_MO_FR_SCHALT_2: -32640
  { 0x301, 0x1882, 0x8080},  // W_WASSERPROG_2_MO_FR_SCHALT_3: -32640
  { 0x301, 0x1890, 0x0060},  // W_WASSERPROG_2_SA_SO: 96
  { 0x301, 0x1891, 0x8080},  // W_WASSERPROG_2_SA_SO_SCHALT_2: -32640
  { 0x301, 0x1892, 0x8080},  // W_WASSERPROG_2_SA_SO_SCHALT_3: -32640
  { 0x301, 0x18a0, 0x0060},  // W_WASSERPROG_2_MO_SO: 96
  { 0x301, 0x18a1, 0x8080},  // W_WASSERPROG_2_MO_SO_SCHALT_2: -32640
  { 0x301, 0x18a2, 0x8080},  // W_WASSERPROG_2_MO_SO_SCHALT_3: -32640
  { 0x301, 0x1910, 0x0060},  // W_WASSERPROG_3_MO: 00:00-24:00
  { 0x301, 0x1911, 0x8080},  // W_WASSERPROG_3_MO_SCHALT_2: not used time domain
  { 0x301, 0x1912, 0x8080},  // W_WASSERPROG_3_MO_SCHALT_3: not used time domain
  { 0x301, 0x1920, 0x0060},  // W_WASSERPROG_3_DI: 00:00-24:00
  { 0x301, 0x1921, 0x8080},  // W_WASSERPROG_3_DI_SCHALT_2: not used time domain
  { 0x301, 0x1922, 0x8080},  // W_WASSERPROG_3_DI_SCHALT_3: not used time domain
  { 0x301, 0x1930, 0x0060},  // W_WASSERPROG_3_MI: 00:00-24:00
  { 0x301, 0x1931, 0x8080},  // W_WASSERPROG_3_MI_SCHALT_2: not used time domain
  { 0x301, 0x1932, 0x8080},  // W_WASSERPROG_3_MI_SCHALT_3: not used time domain
  { 0x301, 0x1940, 0x0060},  // W_WASSERPROG_3_DO: 00:00-24:00
  { 0x301, 0x1941, 0x8080},  // W_WASSERPROG_3_DO_SCHALT_2: not used time domain
  { 0x301, 0x1942, 0x8080},  // W_WASSERPROG_3_DO_SCHALT_3: not used time domain
  { 0x301, 0x1950, 0x0060},  // W_WASSERPROG_3_FR: 00:00-24:00
  { 0x301, 0x1951, 0x8080},  // W_WASSERPROG_3_FR_SCHALT_2: not used time domain
  { 0x301, 0x1952, 0x8080},  // W_WASSERPROG_3_FR_SCHALT_3: not used time domain
  { 0x301, 0x1960, 0x0060},  // W_WASSERPROG_3_SA: 00:00-24:00
  { 0x301, 0x1961, 0x8080},  // W_WASSERPROG_3_SA_SCHALT_2: not used time domain
  { 0x301, 0x1962, 0x8080},  // W_WASSERPROG_3_SA_SCHALT_3: not used time domain
  { 0x301, 0x1970, 0x0060},  // W_WASSERPROG_3_SO: 00:00-24:00
  { 0x301, 0x1971, 0x8080},  // W_WASSERPROG_3_SO_SCHALT_2: not used time domain
  { 0x301, 0x1972, 0x8080},  // W_WASSERPROG_3_SO_SCHALT_3: not used time domain
  { 0x301, 0x1980, 0x0060},  // W_WASSERPROG_3_MO_FR: 96
  { 0x301, 0x1981, 0x8080},  // W_WASSERPROG_3_MO_FR_SCHALT_2: -32640
  { 0x301, 0x1982, 0x8080},  // W_WASSERPROG_3_MO_FR_SCHALT_3: -32640
  { 0x301, 0x1990, 0x0060},  // W_WASSERPROG_3_SA_SO: 96
  { 0x301, 0x1991, 0x8080},  // W_WASSERPROG_3_SA_SO_SCHALT_2: -32640
  { 0x301, 0x1992, 0x8080},  // W_WASSERPROG_3_SA_SO_SCHALT_3: -32640
  { 0x301, 0x19a0, 0x0060},  // W_WASSERPROG_3_MO_SO: 96
  { 0x301, 0x19a1, 0x8080},  // W_WASSERPROG_3_MO_SO_SCHALT_2: -32640
  { 0x301, 0x19a2, 0x8080},  // W_WASSERPROG_3_MO_SO_SCHALT_3: -32640
  { 0x301, 0x1a10, 0x0060},  // ZIRKPROG_1_MO: 00:00-24:00
  { 0x301, 0x1a11, 0x8080},  // ZIRKPROG_1_MO_SCHALT_2: not used time domain
  { 0x301, 0x1a12, 0x8080},  // ZIRKPROG_1_MO_SCHALT_3: not used time domain
  { 0x301, 0x1a20, 0x0060},  // ZIRKPROG_1_DI: 00:00-24:00
  { 0x301, 0x1a21, 0x8080},  // ZIRKPROG_1_DI_SCHALT_2: not used time domain
  { 0x301, 0x1a22, 0x8080},  // ZIRKPROG_1_DI_SCHALT_3: not used time domain
  { 0x301, 0x1a30, 0x0060},  // ZIRKPROG_1_MI: 00:00-24:00
  { 0x301, 0x1a31, 0x8080},  // ZIRKPROG_1_MI_SCHALT_2: not used time domain
  { 0x301, 0x1a32, 0x8080},  // ZIRKPROG_1_MI_SCHALT_3: not used time domain
  { 0x301, 0x1a40, 0x0060},  // ZIRKPROG_1_DO: 00:00-24:00
  { 0x301, 0x1a41, 0x8080},  // ZIRKPROG_1_DO_SCHALT_2: not used time domain
  { 0x301, 0x1a42, 0x8080},  // ZIRKPROG_1_DO_SCHALT_3: not used time domain
  { 0x301, 0x1a50, 0x0060},  // ZIRKPROG_1_FR: 00:00-24:00
  { 0x301, 0x1a51, 0x8080},  // ZIRKPROG_1_FR_SCHALT_2: not used time domain
  { 0x301, 0x1a52, 0x8080},  // ZIRKPROG_1_FR_SCHALT_3: not used time domain
  { 0x301, 0x1a60, 0x0060},  // ZIRKPROG_1_SA: 00:00-24:00
  { 0x301, 0x1a61, 0x8080},  // ZIRKPROG_1_SA_SCHALT_2: not used time domain
  { 0x301, 0x1a62, 0x8080},  // ZIRKPROG_1_SA_SCHALT_3: not used time domain
  { 0x301, 0x1a70, 0x0060},  // ZIRKPROG_1_SO: 00:00-24:00
  { 0x301, 0x1a71, 0x8080},  // ZIRKPROG_1_SO_SCHALT_2: not used time domain
  { 0x301, 0x1a72, 0x8080},  // ZIRKPROG_1_SO_SCHALT_3: not used time domain
  { 0x301, 0x1a80, 0x0060},  // ZIRKPROG_1_MO_FR: 96
  { 0x301, 0x1a81, 0x8080},  // ZIRKPROG_1_MO_FR_SCHALT_2: -32640
  { 0x301, 0x1a82, 0x8080},  // ZIRKPROG_1_MO_FR_SCHALT_3: -32640
  { 0x301, 0x1a90, 0x0060},  // ZIRKPROG_1_SA_SO: 96
  { 0x301, 0x1a91, 0x8080},  // ZIRKPROG_1_SA_SO_SCHALT_2: -32640
  { 0x301, 0x1a92, 0x8080},  // ZIRKPROG_1_SA_SO_SCHALT_3: -32640
  { 0x301, 0x1aa0, 0x0060},  // ZIRKPROG_1_MO_SO: 96
  { 0x301, 0x1aa1, 0x8080},  // ZIRKPROG_1_MO_SO_SCHALT_2: -32640
  { 0x301, 0x1aa2, 0x8080},  // ZIRKPROG_1_MO_SO_SCHALT_3: -32640
  { 0x301, 0x1b10, 0x0060},  // ZIRKPROG_2_MO: 00:00-24:00
  { 0x301, 0x1b11, 0x8080},  // ZIRKPROG_2_MO_SCHALT_2: not used time domain
  { 0x301, 0x1b12, 0x8080},  // ZIRKPROG_2_MO_SCHALT_3: not used time domain
  { 0x301, 0x1b20, 0x0060},  // ZIRKPROG_2_DI: 00:00-24:00
  { 0x301, 0x1b21, 0x8080},  // ZIRKPROG_2_DI_SCHALT_2: not used time domain
  { 0x301, 0x1b22, 0x8080},  // ZIRKPROG_2_DI_SCHALT_3: not used time domain
  { 0x301, 0x1b30, 0x0060},  // ZIRKPROG_2_MI: 00:00-24:00
  { 0x301, 0x1b31, 0x8080},  // ZIRKPROG_2_MI_SCHALT_2: not used time domain
  { 0x301, 0x1b32, 0x8080},  // ZIRKPROG_2_MI_SCHALT_3: not used time domain
  { 0x301, 0x1b40, 0x0060},  // ZIRKPROG_2_DO: 00:00-24:00
  { 0x301, 0x1b41, 0x8080},  // ZIRKPROG_2_DO_SCHALT_2: not used time domain
  { 0x301, 0x1b42, 0x8080},  // ZIRKPROG_2_DO_SCHALT_3: not used time domain
  { 0x301, 0x1b50, 0x0060},  // ZIRKPROG_2_FR: 00:00-24:00
  { 0x301, 0x1b51, 0x8080},  // ZIRKPROG_2_FR_SCHALT_2: not used time domain
  { 0x301, 0x1b52, 0x8080},  // ZIRKPROG_2_FR_SCHALT_3: not used time domain
  { 0x301, 0x1b60, 0x0060},  // ZIRKPROG_2_SA: 00:00-24:00
  { 0x301, 0x1b61, 0x8080},  // ZIRKPROG_2_SA_SCHALT_2: not used time domain
  { 0x301, 0x1b62, 0x8080},  // ZIRKPROG_2_SA_SCHALT_3: not used time domain
  { 0x301, 0x1b70, 0x0060},  // ZIRKPROG_2_SO: 00:00-24:00
  { 0x301, 0x1b71, 0x8080},  // ZIRKPROG_2_SO_SCHALT_2: not used time domain
  { 0x301, 0x1b72, 0x8080},  // ZIRKPROG_2_SO_SCHALT_3: not used time domain
  { 0x301, 0x1b80, 0x0060},  // ZIRKPROG_2_MO_FR: 96
  { 0x301, 0x1b81, 0x8080},  // ZIRKPROG_2_MO_FR_SCHALT_2: -32640
  { 0x301, 0x1b82, 0x8080},  // ZIRKPROG_2_MO_FR_SCHALT_3: -32640
  { 0x301, 0x1b90, 0x0060},  // ZIRKPROG_2_SA_SO: 96
  { 0x301, 0x1b91, 0x8080},  // ZIRKPROG_2_SA_SO_SCHALT_2: -32640
  { 0x301, 0x1b92, 0x8080},  // ZIRKPROG_2_SA_SO_SCHALT_3: -32640
  { 0x301, 0x1ba0, 0x0060},  // ZIRKPROG_2_MO_SO: 96
  { 0x301, 0x1ba1, 0x8080},  // ZIRKPROG_2_MO_SO_SCHALT_2: -32640
  { 0x301, 0x1ba2, 0x8080},  // ZIRKPROG_2_MO_SO_SCHALT_3: -32640
  { 0x301, 0x1c10, 0x0060},  // ZIRKPROG_3_MO: 00:00-24:00
  { 0x301, 0x1c11, 0x8080},  // ZIRKPROG_3_MO_SCHALT_2: not used time domain
  { 0x301, 0x1c12, 0x8080},  // ZIRKPROG_3_MO_SCHALT_3: not used time domain
  { 0x301, 0x1c20, 0x0060},  // ZIRKPROG_3_DI: 00:00-24:00
  { 0x301, 0x1c21, 0x8080},  // ZIRKPROG_3_DI_SCHALT_2: not used time domain
  { 0x301, 0x1c22, 0x8080},  // ZIRKPROG_3_DI_SCHALT_3: not used time domain
  { 0x301, 0x1c30, 0x0060},  // ZIRKPROG_3_MI: 00:00-24:00
  { 0x301, 0x1c31, 0x8080},  // ZIRKPROG_3_MI_SCHALT_2: not used time domain
  { 0x301, 0x1c32, 0x8080},  // ZIRKPROG_3_MI_SCHALT_3: not used time domain
  { 0x301, 0x1c40, 0x0060},  // ZIRKPROG_3_DO: 00:00-24:00
  { 0x301, 0x1c41, 0x8080},  // ZIRKPROG_3_DO_SCHALT_2: not used time domain
  { 0x301, 0x1c42, 0x8080},  // ZIRKPROG_3_DO_SCHALT_3: not used time domain
  { 0x301, 0x1c50, 0x0060},  // ZIRKPROG_3_FR: 00:00-24:00
  { 0x301, 0x1c51, 0x8080},  // ZIRKPROG_3_FR_SCHALT_2: not used time domain
  { 0x301, 0x1c52, 0x8080},  // ZIRKPROG_3_FR_SCHALT_3: not used time domain
  { 0x301, 0x1c60, 0x0060},  // ZIRKPROG_3_SA: 00:00-24:00
  { 0x301, 0x1c61, 0x8080},  // ZIRKPROG_3_SA_SCHALT_2: not used time domain
  { 0x301, 0x1c62, 0x8080},  // ZIRKPROG_3_SA_SCHALT_3: not used time domain
  { 0x301, 0x1c70, 0x0060},  // ZIRKPROG_3_SO: 00:00-24:00
  { 0x301, 0x1c71, 0x8080},  // ZIRKPROG_3_SO_SCHALT_2: not used time domain
  { 0x301, 0x1c72, 0x8080},  // ZIRKPROG_3_SO_SCHALT_3: not used time domain
  { 0x301, 0x1c80, 0x0060},  // ZIRKPROG_3_MO_FR: 96
  { 0x301, 0x1c81, 0x8080},  // ZIRKPROG_3_MO_FR_SCHALT_2: -32640
  { 0x301, 0x1c82, 0x8080},  // ZIRKPROG_3_MO_FR_SCHALT_3: -32640
  { 0x301, 0x1c90, 0x0060},  // ZIRKPROG_3_SA_SO: 96
  { 0x301, 0x1c91, 0x8080},  // ZIRKPROG_3_SA_SO_SCHALT_2: -32640
